Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Category
"Studying","",2018-11-27 1:03 PM,2018-11-27 1:21 PM,00:18',0.31063306,"",""
"Studying","",2018-11-27 7:02 PM,2018-11-27 8:10 PM,01:07',1.12823611,"",""
"Studying","",2018-11-27 8:26 PM,2018-11-27 8:26 PM,<01',0.00029222,"",""
"Comic work","Gym",2018-11-27 8:26 PM,2018-11-27 9:03 PM,00:37',0.62123583,"",""
"Comic work","Gym",2018-11-28 8:18 PM,2018-11-28 8:25 PM,00:07',0.11797083,"",""
"Comic work","Gym",2018-11-28 8:38 PM,2018-11-28 9:07 PM,00:28',0.48315389,"",""
"Comic work","Gym",2018-11-28 9:28 PM,2018-11-28 10:28 PM,00:59',0.99018528,"",""
"Studying","",2018-11-29 11:01 AM,2018-11-29 11:52 AM,00:51',0.85932556,"",""
"Studying","",2018-11-29 12:14 PM,2018-11-29 12:42 PM,00:27',0.46357056,"",""
"Studying","",2018-11-29 6:48 PM,2018-11-29 7:53 PM,01:04',1.07762056,"",""
"Studying","",2018-11-29 8:00 PM,2018-11-29 8:36 PM,00:36',0.61008944,"",""
"Studying","",2018-11-30 5:39 AM,2018-11-30 6:58 AM,01:19',1.31760389,"",""
"Studying","",2018-11-30 7:25 AM,2018-11-30 7:31 AM,00:06',0.11017111,"",""
"Comic work","Gym",2018-12-01 7:41 PM,2018-12-01 8:12 PM,00:30',0.51077889,"",""
"Comic work","Gym",2018-12-01 8:17 PM,2018-12-01 8:42 PM,00:25',0.42963667,"",""
"Comic work","Gym",2018-12-02 9:47 AM,2018-12-02 10:03 AM,00:16',0.26746694,"",""
"Studying","",2018-12-02 12:23 PM,2018-12-02 2:14 PM,01:51',1.86317056,"",""
"Comic work","Gym",2018-12-02 6:33 PM,2018-12-02 7:13 PM,00:39',0.66603972,"",""
"Film work","Housework",2018-12-03 7:02 PM,2018-12-03 7:43 PM,00:41',0.69117972,"",""
"Studying","",2018-12-04 10:08 AM,2018-12-04 10:51 AM,00:42',0.71542583,"",""
"Studying","",2018-12-04 11:29 AM,2018-12-04 12:15 PM,00:46',0.77418611,"",""
"Studying","",2018-12-06 10:24 AM,2018-12-06 11:24 AM,01:00',1.00742917,"",""
"Studying","",2018-12-06 11:38 AM,2018-12-06 12:59 PM,01:20',1.34018944,"",""
"Studying","",2018-12-06 1:03 PM,2018-12-06 1:04 PM,<01',0.00271944,"",""
"Studying","",2018-12-07 1:32 PM,2018-12-07 2:17 PM,00:45',0.75928000,"",""
"Studying","",2018-12-08 12:57 PM,2018-12-08 2:08 PM,01:10',1.17022583,"",""
"Studying","",2018-12-08 4:34 PM,2018-12-08 4:55 PM,00:21',0.35780389,"",""
"Studying","",2018-12-08 5:12 PM,2018-12-08 6:05 PM,00:53',0.88694083,"",""
"Studying","",2018-12-08 8:07 PM,2018-12-08 10:45 PM,02:37',2.62238389,"",""
"Studying","",2018-12-09 10:58 AM,2018-12-09 10:58 AM,<01',0.00027944,"",""
"Studying","",2018-12-09 10:58 AM,2018-12-09 10:58 AM,<01',0.00090500,"",""
"Studying","",2018-12-09 10:58 AM,2018-12-09 10:58 AM,<01',0.00022750,"",""
"Studying","",2018-12-09 10:58 AM,2018-12-09 12:15 PM,01:16',1.28150278,"",""
"Studying","",2018-12-09 1:25 PM,2018-12-09 2:27 PM,01:02',1.04980194,"",""
"Studying","",2018-12-09 3:08 PM,2018-12-09 4:15 PM,01:06',1.10943889,"",""
"Studying","",2018-12-09 6:40 PM,2018-12-09 7:25 PM,00:44',0.74162139,"",""
"Studying","",2018-12-09 7:53 PM,2018-12-09 8:58 PM,01:04',1.07985722,"",""
"Studying","",2018-12-09 9:14 PM,2018-12-09 11:14 PM,01:59',1.99118250,"",""
"Film work","Housework",2018-12-11 6:43 PM,2018-12-11 11:05 PM,04:22',4.36674306,"",""
"Film work","Housework",2018-12-12 10:52 AM,2018-12-12 12:12 PM,01:19',1.32403694,"",""
"Writing","",2018-12-13 12:11 PM,2018-12-13 1:02 PM,00:50',0.84723583,"",""
"Writing","",2018-12-13 1:09 PM,2018-12-13 1:26 PM,00:17',0.28801444,"",""
"Film work","Housework",2018-12-13 5:43 PM,2018-12-13 8:29 PM,02:45',2.76079806,"",""
"Studying","",2018-12-16 12:01 PM,2018-12-16 12:01 PM,<01',0.00117750,"",""
"Writing","",2018-12-16 12:01 PM,2018-12-16 1:09 PM,01:08',1.14036639,"",""
"Film work","Housework",2018-12-17 6:15 PM,2018-12-17 6:44 PM,00:29',0.48552028,"",""
"Film work","Housework",2018-12-17 7:27 PM,2018-12-17 9:38 PM,02:11',2.18809861,"",""
"Film work","Housework",2018-12-22 11:48 AM,2018-12-22 1:47 PM,01:58',1.98121222,"",""
"Film work","Housework",2018-12-22 1:51 PM,2018-12-22 4:06 PM,02:15',2.25872417,"",""
"Film work","Housework",2018-12-22 4:09 PM,2018-12-22 7:20 PM,03:11',3.18358417,"",""
"Film work","Housework",2018-12-23 3:55 PM,2018-12-23 6:26 PM,02:31',2.52082056,"",""
"Film work","Housework",2018-12-24 3:59 PM,2018-12-24 4:28 PM,00:28',0.47512222,"",""
"Film work","Housework",2018-12-24 6:49 PM,2018-12-24 8:02 PM,01:12',1.21264722,"",""
"Film work","Housework",2018-12-25 10:32 AM,2018-12-25 12:51 PM,02:18',2.31469528,"",""
"Writing","",2018-12-25 9:09 PM,2018-12-25 9:09 PM,<01',0.00176583,"",""
"Film work","Housework",2018-12-26 10:42 AM,2018-12-26 1:27 PM,02:44',2.74982972,"",""
"Film work","Housework",2018-12-26 2:33 PM,2018-12-26 5:12 PM,02:39',2.65181333,"",""
"Comic work","Gym",2018-12-27 11:30 AM,2018-12-27 1:10 PM,01:39',1.66407194,"",""
"Comic work","Gym",2018-12-27 2:48 PM,2018-12-27 3:20 PM,00:31',0.53211722,"",""
"Film work","Housework",2018-12-27 5:18 PM,2018-12-27 7:10 PM,01:51',1.86586306,"",""
"Comic work","Gym",2018-12-28 10:09 PM,2018-12-28 10:38 PM,00:28',0.48037167,"",""
"Comic work","Gym",2018-12-29 11:17 AM,2018-12-29 12:10 PM,00:53',0.88861111,"",""
"RubyProject ","",2018-12-29 1:00 PM,2018-12-29 2:20 PM,01:20',1.33562972,"","Programming "
"Writing","",2018-12-30 1:58 PM,2018-12-30 5:11 PM,03:12',3.20805639,"",""
"Writing","",2018-12-30 7:22 PM,2018-12-30 7:44 PM,00:21',0.35367306,"",""
"Comic work","Gym",2018-12-30 7:55 PM,2018-12-30 9:51 PM,01:56',1.93581000,"",""
"Comic work","Gym",2018-12-30 9:52 PM,2018-12-30 10:18 PM,00:26',0.43717528,"",""
"Comic work","Gym",2018-12-31 9:28 AM,2018-12-31 10:07 AM,00:38',0.64937556,"",""
"Writing","",2018-12-31 3:09 PM,2018-12-31 3:58 PM,00:49',0.82837528,"",""
"RubyProject ","",2018-12-31 3:58 PM,2018-12-31 4:53 PM,00:54',0.90957944,"","Programming "
"Writing","",2018-12-31 4:53 PM,2018-12-31 4:54 PM,<01',0.00071528,"",""
"Writing","",2018-12-31 4:54 PM,2018-12-31 4:54 PM,<01',0.00135833,"",""
"Film work","Housework",2019-01-01 12:39 PM,2019-01-01 2:57 PM,02:17',2.29402722,"",""
"Film work","Housework",2019-01-01 4:07 PM,2019-01-01 5:35 PM,01:28',1.47191861,"",""
"Film work","Housework",2019-01-01 5:58 PM,2019-01-01 6:09 PM,00:10',0.18187472,"",""
"Writing","",2019-01-01 6:16 PM,2019-01-01 6:32 PM,00:16',0.26928000,"",""
"Comic work","Gym",2019-01-01 6:32 PM,2019-01-01 7:44 PM,01:12',1.20305806,"",""
"RubyProject ","",2019-01-02 6:20 PM,2019-01-02 6:40 PM,00:20',0.33333333,"","Programming "
"RubyProject ","",2019-01-02 6:20 PM,2019-01-02 7:09 PM,00:49',0.81716694,"","Programming "
"Comic work","Gym",2019-01-03 10:45 AM,2019-01-03 10:45 AM,<01',0.00028389,"",""
"Comic work","Gym",2019-01-03 10:45 AM,2019-01-03 12:13 PM,01:27',1.46223972,"",""
"Comic work","Gym",2019-01-03 4:29 PM,2019-01-03 4:45 PM,00:15',0.26177083,"",""
"RubyProject ","",2019-01-03 4:50 PM,2019-01-03 5:53 PM,01:03',1.05454472,"","Programming "
"Comic work","Gym",2019-01-03 6:57 PM,2019-01-03 8:08 PM,01:11',1.18961417,"",""
"Comic work","Gym",2019-01-03 9:55 PM,2019-01-03 10:35 PM,00:40',0.66997472,"",""
"Comic work","Gym",2019-01-03 10:37 PM,2019-01-03 10:43 PM,00:06',0.10163583,"",""
"Film work","Housework",2019-01-04 3:03 PM,2019-01-04 4:27 PM,01:23',1.39831250,"",""
"Film work","Housework",2019-01-05 11:18 AM,2019-01-05 12:05 PM,00:47',0.78854556,"",""
"Film work","Housework",2019-01-05 4:24 PM,2019-01-05 5:12 PM,00:47',0.79040889,"",""
"Comic work","Gym",2019-01-05 6:07 PM,2019-01-05 6:35 PM,00:27',0.46476917,"",""
"Film work","Housework",2019-01-06 11:30 AM,2019-01-06 12:52 PM,01:22',1.37796194,"",""
"Writing","",2019-01-08 7:16 PM,2019-01-08 7:53 PM,00:36',0.60965639,"",""
"Writing","",2019-01-08 8:10 PM,2019-01-08 8:46 PM,00:36',0.61299583,"",""
"Comic work","Gym",2019-01-09 1:40 PM,2019-01-09 2:26 PM,00:46',0.77359278,"",""
"Comic work","Gym",2019-01-09 7:41 PM,2019-01-09 9:21 PM,01:40',1.66847611,"",""
"Writing","",2019-01-10 11:58 AM,2019-01-10 1:35 PM,01:36',1.60666556,"",""
"Writing","",2019-01-10 1:35 PM,2019-01-10 1:35 PM,<01',0.00016861,"",""
"Film work","Housework",2019-01-14 9:26 AM,2019-01-14 9:55 AM,00:28',0.48074528,"",""
"Studying","",2019-01-14 9:00 PM,2019-01-14 9:00 PM,<01',0.00129917,"",""
"Film work","Housework",2019-01-14 9:00 PM,2019-01-14 11:42 PM,02:41',2.68361694,"",""
"Comic work","Gym",2019-01-14 11:42 PM,2019-01-14 11:42 PM,<01',0.00030306,"",""
"Film work","Housework",2019-01-15 4:20 PM,2019-01-15 7:02 PM,02:41',2.69414000,"",""
"Film work","Housework",2019-01-16 6:16 PM,2019-01-16 8:15 PM,01:58',1.97416806,"",""
"Film work","Housework",2019-01-16 10:31 PM,2019-01-17 12:05 AM,01:34',1.57477444,"",""
"Film work","Housework",2019-01-17 12:05 AM,2019-01-17 12:06 AM,<01',0.00020111,"",""
"Film work","Housework",2019-01-17 10:47 AM,2019-01-17 11:13 AM,00:26',0.43915111,"",""
"Film work","Housework",2019-01-17 11:15 AM,2019-01-17 5:59 PM,06:43',6.72712278,"",""
"Film work","Housework",2019-01-19 4:43 PM,2019-01-19 5:56 PM,01:12',1.21188944,"",""
"Film work","Housework",2019-01-21 11:56 AM,2019-01-21 1:18 PM,01:22',1.37238472,"",""
"Film work","Housework",2019-01-21 4:09 PM,2019-01-21 4:47 PM,00:37',0.62769833,"",""
"Film work","Housework",2019-01-21 5:11 PM,2019-01-21 6:49 PM,01:38',1.63479361,"",""
"Film work","Housework",2019-01-23 9:36 AM,2019-01-23 11:21 AM,01:45',1.75436583,"",""
"Comic work","Gym",2019-01-25 9:22 PM,2019-01-25 10:18 PM,00:55',0.93195417,"",""
"Studying","",2019-01-27 10:37 AM,2019-01-27 11:21 AM,00:44',0.73393167,"",""
"Studying","",2019-01-27 11:35 AM,2019-01-27 12:50 PM,01:14',1.24989000,"",""
"Studying","",2019-01-27 12:53 PM,2019-01-27 1:03 PM,00:10',0.16981028,"",""
"Studying","",2019-01-27 7:18 PM,2019-01-27 8:31 PM,01:12',1.21649472,"",""
"RubyProject ","",2019-01-27 8:31 PM,2019-01-27 9:08 PM,00:36',0.61279194,"","Programming "
"Comic work","Gym",2019-01-27 9:10 PM,2019-01-27 10:02 PM,00:51',0.85550806,"",""
"RubyProject ","",2019-01-27 10:02 PM,2019-01-27 10:02 PM,<01',0.00035194,"","Programming "
"Comic work","Gym",2019-01-27 10:02 PM,2019-01-27 10:02 PM,<01',0.00016083,"",""
"Studying","",2019-01-28 9:14 AM,2019-01-28 10:31 AM,01:16',1.27300722,"",""
"Studying","",2019-01-28 1:00 PM,2019-01-28 1:28 PM,00:28',0.47432750,"",""
"Writing","",2019-01-28 1:28 PM,2019-01-28 4:47 PM,03:18',3.30814250,"",""
"Studying","",2019-01-29 10:46 AM,2019-01-29 11:57 AM,01:10',1.17458861,"",""
"Studying","",2019-01-29 11:57 AM,2019-01-29 12:30 PM,00:32',0.54807222,"",""
"RubyProject ","",2019-01-29 12:41 PM,2019-01-29 1:24 PM,00:42',0.71551861,"","Programming "
"Writing","",2019-01-30 7:49 PM,2019-01-30 7:49 PM,<01',0.00095667,"",""
"RubyProject ","",2019-01-31 10:21 AM,2019-01-31 11:38 AM,01:17',1.28963806,"","Programming "
"Studying","",2019-01-31 4:09 PM,2019-01-31 4:28 PM,00:18',0.31345111,"",""
"RubyProject ","",2019-02-01 6:00 PM,2019-02-01 7:59 PM,01:58',1.98075667,"","Programming "
"RubyProject ","",2019-02-01 7:59 PM,2019-02-01 7:59 PM,<01',0.00014167,"","Programming "
"RubyProject ","",2019-02-01 9:27 PM,2019-02-01 9:43 PM,00:15',0.25720361,"","Programming "
"RubyProject ","",2019-02-01 9:43 PM,2019-02-01 11:07 PM,01:23',1.39905944,"","Programming "
"Film work","Housework",2019-02-02 10:00 AM,2019-02-02 12:36 PM,02:36',2.60252139,"",""
"RubyProject ","",2019-02-02 2:15 PM,2019-02-02 2:15 PM,<01',0.00022750,"","Programming "
"RubyProject ","",2019-02-02 2:15 PM,2019-02-02 3:21 PM,01:06',1.11100278,"","Programming "
"RubyProject ","",2019-02-02 3:22 PM,2019-02-02 3:46 PM,00:23',0.39889806,"","Programming "
"RubyProject ","",2019-02-02 4:31 PM,2019-02-02 4:31 PM,<01',0.00017806,"","Programming "
"RubyProject ","",2019-02-02 4:31 PM,2019-02-02 4:31 PM,<01',0.00141361,"","Programming "
"RubyProject ","",2019-02-02 4:31 PM,2019-02-02 6:50 PM,02:19',2.31684361,"","Programming "
"Studying","",2019-02-03 4:45 PM,2019-02-03 4:45 PM,<01',0.00036306,"",""
"Studying","",2019-02-03 4:45 PM,2019-02-03 5:06 PM,00:21',0.36007611,"",""
