Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
"Writing","",2019-04-19 9:06 PM,2019-04-19 9:06 PM,<01',0.00015250,"",""
"Film work","Housework",2019-04-20 3:15 PM,2019-04-20 3:15 PM,<01',0.00015639,"",""
"Film work","Housework",2019-04-20 3:15 PM,2019-04-20 4:29 PM,01:14',1.23739722,"",""
"Writing","",2019-04-20 5:20 PM,2019-04-20 5:52 PM,00:31',0.53055722,"",""
"Writing","",2019-04-20 6:12 PM,2019-04-20 6:30 PM,00:18',0.30828722,"",""
"Writing","",2019-04-20 6:47 PM,2019-04-20 7:30 PM,00:43',0.72292250,"",""
"Writing","",2019-04-20 7:30 PM,2019-04-20 7:30 PM,<01',0.00019250,"",""
"Writing","",2019-04-20 7:34 PM,2019-04-20 8:18 PM,00:44',0.73371667,"",""
"Studying","",2019-04-21 5:56 PM,2019-04-21 6:05 PM,00:08',0.14846139,"",""
"Writing","",2019-04-21 6:05 PM,2019-04-21 7:07 PM,01:01',1.03282667,"",""
"Studying","",2019-04-22 1:11 PM,2019-04-22 2:00 PM,00:49',0.81675639,"",""
"Studying","",2019-04-22 2:00 PM,2019-04-22 2:01 PM,<01',0.01643861,"",""
"Studying","",2019-04-22 2:11 PM,2019-04-22 2:41 PM,00:29',0.49863639,"",""
"Studying","",2019-04-22 3:58 PM,2019-04-22 5:00 PM,01:02',1.03377167,"",""
"Film work","Housework",2019-04-22 6:18 PM,2019-04-22 6:18 PM,<01',0.00478139,"",""
"Writing","",2019-04-22 6:41 PM,2019-04-22 7:02 PM,00:21',0.35050722,"",""
"Studying","",2019-04-23 12:59 PM,2019-04-23 12:59 PM,<01',0.00032833,"",""
"Writing","",2019-04-23 12:59 PM,2019-04-23 1:20 PM,00:20',0.34616444,"",""
"Writing","",2019-04-23 1:21 PM,2019-04-23 2:00 PM,00:38',0.64780917,"",""
"RubyProject ","",2019-04-23 2:11 PM,2019-04-23 2:28 PM,00:16',0.27990889,"","Programming "
"RubyProject ","",2019-04-23 2:28 PM,2019-04-23 2:28 PM,<01',0.00017833,"","Programming "
"RubyProject ","",2019-04-23 2:28 PM,2019-04-23 2:51 PM,00:23',0.38370222,"","Programming "
"RubyProject ","",2019-04-23 3:04 PM,2019-04-23 3:51 PM,00:46',0.78081250,"","Programming "
"Writing","",2019-04-23 4:08 PM,2019-04-23 4:48 PM,00:39',0.65942806,"",""
"RubyProject ","",2019-04-23 5:01 PM,2019-04-23 5:10 PM,00:09',0.15405667,"","Programming "
"RubyProject ","",2019-04-23 5:10 PM,2019-04-23 5:10 PM,<01',0.00013694,"","Programming "
"RubyProject ","",2019-04-24 11:34 AM,2019-04-24 11:55 AM,00:21',0.35025472,"","Programming "
"Studying","",2019-04-24 12:18 PM,2019-04-24 12:24 PM,00:05',0.09921528,"",""
"RubyProject ","",2019-04-24 12:25 PM,2019-04-24 1:24 PM,00:59',0.98456417,"","Programming "
"RubyProject ","",2019-04-24 3:34 PM,2019-04-24 4:36 PM,01:02',1.03538611,"","Programming "
"RubyProject ","",2019-04-24 4:44 PM,2019-04-24 4:44 PM,<01',0.00015389,"","Programming "
"RubyProject ","",2019-04-24 4:44 PM,2019-04-24 5:54 PM,01:09',1.16616194,"","Programming "
"RubyProject ","",2019-04-24 9:52 PM,2019-04-24 9:58 PM,00:06',0.10904222,"","Programming "
"RubyProject ","",2019-04-24 10:07 PM,2019-04-24 10:07 PM,<01',0.00022250,"","Programming "
"RubyProject ","",2019-04-24 10:07 PM,2019-04-24 10:22 PM,00:14',0.24053694,"","Programming "
